review_id,user_name,review_title,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appversion,laguage_code,country_code
81942ead-9d65-4b1a-8aa2-6e21ad5cf5e7,vernalee fortin,,"still loving it!, the best!",5,0,9/3/2024 0:23,,,23.12.04000,en,us
c08cf1e7-45e4-43a3-b86f-51f7809b80a3,toki doki,,convenient one stop app for all your passwords. lock in with the app pw and update your other apps pws. allows backup file to be created so that it can be used on your backup phone as well.,5,0,8/19/2024 3:32,,,23.12.04000,en,us
c8937763-e1b4-43b1-9e48-cde58be80111,cj cross,,"tried several password managers until i came across this one. it dies everything i need to store my passwords safely. no complications like the big name managers. i tried a bunch of those, and they were a waste of tme. and expensuve. for most people, this is all you need.",5,0,7/30/2024 8:07,,,23.12.04000,en,us
762baf4b-9109-4b4b-a42f-2291b0486faf,trevor lewis,,ok thank you,5,0,6/11/2024 17:20,,,,en,us
275a2d36-6d77-44ae-9d7b-8be6ad614e3f,k k,,"switched phones and none of my passwords came over to new phone, very upset.",1,0,5/19/2024 19:20,"you have to do a backup on google drive / dropbox before switching phones. then on the new phone restore your data. if you encounter issues please contact support, we will provide assistance. did you mange to restore your data?",5/21/2024 23:50,23.12.04000,en,us
b8a5df20-4fee-49c6-843b-3df705749740,richard eckersley,,i like the simplicity of this app. it does what i want without complex steps. stores basic details for all your user details in one place.,4,1,5/6/2024 4:16,"thank you for your kind words! we're thrilled to hear that you appreciate the simplicity and effectiveness of our app for storing your data securely. if you have any suggestions for further improvements or features you'd like to see, please feel free to reach out to us. your feedback is invaluable to us!",5/12/2024 13:06,23.12.04000,en,us
e59f8058-e305-45c4-aad9-c0c7c619d22a,brian mcdowall,,"excellent, secure and easy to use app. please keep unlimited saves free, watching ads are worth it and there's not too many of them. another app which i was using now only lets you save 5 on free version, only because it is made by a well known and more established cyber security company that's been around for decades on pc. i'm assuming a few other more well known ones will be doing the same but this is just as secure as any of them. love the thumbprint login feature too for quicker access.",5,0,4/27/2024 3:44,"thank you so much for your detailed feedback and positive review! we're thrilled to hear that you find our app excellent and easy to use. we understand your frustration with other apps limiting free saves, and we're committed to providing a valuable and secure experience without such restrictions. thank you for choosing and supporting our app!",5/12/2024 13:12,23.12.04000,en,us
990b1855-5596-4d35-8280-067a4c529720,marie,,"love this app. it's simple, secure, and great especially so you can access your password's even if you're away from wifi.",5,0,3/1/2024 11:01,,,23.12.04000,en,us
9c9153a8-32b2-4fc5-9d09-f5a29390840c,rob fleming,,good app,4,0,1/3/2024 22:41,,,23.12.04000,en,us
a565430f-7b7a-4151-9d85-a6f93dd8389f,d,,easy to use and great for storing passwords. good security.,5,0,1/2/2024 21:37,,,23.12.04000,en,us
8f6e2b11-8ca7-4409-b09f-776fd117c070,tammie price,,great,5,0,12/16/2023 7:35,,,23.12.04000,en,us
f4546fb2-49e7-46ba-a6ed-eeb6bb92fc77,ms. c,,only wish the app would autopilot and details visible without clicking on edit.,4,1,10/14/2023 1:43,we appreciate your feedback and support. thank you,10/28/2023 12:23,23.09.15000,en,us
935b494e-7bbd-4b6d-9d05-3e488eb1ed2b,saimon telecom,,gote,5,0,9/22/2023 17:41,,,,en,us
64f6d3fc-1143-42b5-9e4f-4a98c3179153,trustflash cracker,,❤️,5,0,9/22/2023 5:01,thank you very much for your 5-star review!,10/28/2023 12:26,,en,us
c9de8ef9-20d7-4654-b214-069ea16174d6,jenna delena,,still i want an update this is not a safe app without a recovery for password and email because sometimes they banned me without any better reason,1,1,9/18/2023 17:13,have your issues been solved? if there is something that we can do to help you please let us know,10/28/2023 12:30,23.09.15000,en,us
6308f390-5fc7-4caa-bd2f-267f4946e4d2,jm inoue,,good,5,0,9/3/2023 19:26,we appreciate your feedback and support. thank you,10/28/2023 12:32,23.08.27000,en,us
7993024e-c837-4c61-a577-affa5a57d8c5,kyleigh macdonald,,"great app, been using ot for a few years now and never had any issues. east to use and easy to sync passwords to each device.",5,0,8/25/2023 2:37,we're always working hard to improve the app. thanks for your download and feedback.,8/25/2023 9:12,23.02.25000,en,us
